X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT5G24750	1.95	2.13	1.66	1.51	3.79	3.81
AT5G24760	3.87	7.33	1.97	3.24	9.64	10.59
AT5G24770	705.89	975.45	13.48	13.23	908.32	1639.35
AT5G24775	0	0	0	0	0.03	0
AT5G24780	1849.61	2748.22	7.97	2.27	2267.12	3774.18
AT5G24790	1.3	2.83	0	0	5.58	8.42
AT5G24800	20.84	28.81	2.68	3.84	27.22	28.88
AT5G24810	4.97	8.74	6.24	8.1	8.59	10.17
AT5G24820	0.98	3.29	0	0.13	1.77	3.93
AT5G24825	0	0	0	0	0	0
AT5G24830	1.29	2.4	1.35	1.86	1.79	2.74
AT5G24840	10.32	17.3	5.72	7.89	15.13	19.32
AT5G24850	4.57	4.41	0.97	1.11	6.2	6.26
AT5G24860	0.78	2.98	0	0	3.31	3.12
AT5G24870	5.3	4.49	4.18	3.26	5.71	7.9
AT5G24879	0	0	0	0	0	0
AT5G24880	1.69	2.98	0	0	0.88	1.61
AT5G24890	16.1	29.01	27.63	20.91	40.57	46.47
AT5G24900	0	0.16	0	0	0	0.05
AT5G24910	2.58	3.14	0	0	4.99	3.93
AT5G24915	0.04	0.02	0	0.03	0	0
AT5G24920	1.1	0.93	0.65	0.23	0.73	1.34
AT5G24930	97.47	142.85	290.72	172.37	209.15	218.27
AT5G24940	3.11	1.72	0.68	0.41	0.57	2.22
AT5G24950	0	0	0	0	0	0
AT5G24960	0.2	0.28	0	0	0.05	0
AT5G24970	2.91	2.95	1.14	0.66	2.2	3.3
AT5G24980	9.94	11.64	9.57	14.24	16.59	21.6
AT5G24990	0.53	1.28	1.24	0.81	1.74	1.5
AT5G25000	0	0	0	0	0.37	0
AT5G25010	0.62	1.39	0.11	0.23	1.45	1.08
AT5G25020	0	0	0	0	0.13	0
AT5G25030	0	0	0	0	0	0
AT5G25040	7.22	7.89	13.88	13.78	6.93	7.88
AT5G25045	0.03	0.09	0.14	0.04	0.09	0.09
AT5G25050	1.67	2.1	3.27	2.94	2.03	1.61
AT5G25060	4	6.88	5.7	4.74	7.3	8
AT5G25070	3.62	5.55	7.3	5.51	7.55	9.11
AT5G25080	12.87	19.78	9.18	11.4	26.81	27.35
AT5G25090	26.37	52.07	0.69	0.49	65.37	65.16
AT5G25100	31.01	44.5	21.89	24.56	43.63	44.84
AT5G25110	0.36	2.69	0.27	0.28	1.11	2.22
AT5G25120	0.82	0.96	7.96	13.24	0.6	1.45
AT5G25130	1.15	1.02	9.65	10.19	1.3	2.65
AT5G25140	0.4	0.36	5.33	8.67	0.51	0.69
AT5G25150	3.93	7.8	4.03	3.68	7	8.49
AT5G25160	0	0.22	0	0	0.34	0.28
AT5G25170	2.09	4.08	1.71	2.59	5.28	5.57
AT5G25180	0	0.08	0	0	0	0
